序号,文件路径,文件名,文件类型,文件作用,是否已生成,文件描述
1,res://,icon.png,图片,游戏窗口图标,是,128x128像素，游戏logo图标（当前为1x1占位图）
2,res://Assets/Maps/,start_village.png,图片,新手村地图背景,是,2000x1500像素，村庄风格背景图（当前为1x1占位图）
3,res://Assets/Maps/,dark_forest.png,图片,黑暗森林地图背景,是,3000x2500像素，森林风格背景图（当前为1x1占位图）
4,res://Assets/Maps/,dragon_cave.png,图片,龙穴地图背景,是,4000x3000像素，洞穴风格背景图（当前为1x1占位图）
5,res://Assets/Maps/,god_realm.png,图片,神界地图背景,是,5000x4000像素，神圣风格背景图（当前为1x1占位图）
6,res://Assets/Audio/Music/,start_village.mp3,音频,新手村背景音乐,是,约2-3分钟，轻松愉快的村庄音乐（当前为占位MP3头）
7,res://Assets/Audio/Music/,dark_forest.mp3,音频,黑暗森林背景音乐,是,约2-3分钟，神秘紧张的森林音乐（当前为占位MP3头）
8,res://Assets/Audio/Music/,dragon_cave.mp3,音频,龙穴背景音乐,是,约2-3分钟，震撼宏伟的战斗音乐（当前为占位MP3头）
9,res://Assets/Audio/Music/,god_realm.mp3,音频,神界背景音乐,是,约2-3分钟，神圣庄严的音乐（当前为占位MP3头）
10,res://Assets/Sprites/Player/,player_archer.png,图片,弓箭手角色精灵,是,32x32像素，6帧动画（当前为1x1占位图）
11,res://Assets/Sprites/Player/,player_warrior.png,图片,战士角色精灵,是,32x32像素，6帧动画（当前为1x1占位图）
12,res://Assets/Sprites/Player/,player_assassin.png,图片,刺客角色精灵,是,32x32像素，6帧动画（当前为1x1占位图）
13,res://Assets/Sprites/Player/,player_mage.png,图片,法师角色精灵,是,32x32像素，6帧动画（当前为1x1占位图）
14,res://Assets/Sprites/Player/,player_priest.png,图片,牧师角色精灵,是,32x32像素，6帧动画（当前为1x1占位图）
15,res://Assets/Sprites/Player/,player_fighter.png,图片,格斗家角色精灵,是,32x32像素，6帧动画（当前为1x1占位图）
16,res://Assets/Sprites/Monster/,monster_wolf.png,图片,狼怪物精灵,是,32x32像素，4帧动画（当前为1x1占位图）
17,res://Assets/Sprites/Monster/,monster_goblin.png,图片,哥布林怪物精灵,是,32x32像素，4帧动画（当前为1x1占位图）
18,res://Assets/Sprites/Monster/,monster_goblin_archer.png,图片,哥布林弓箭手精灵,是,32x32像素，4帧动画（当前为1x1占位图）
19,res://Assets/Sprites/Monster/,monster_goblin_shaman.png,图片,哥布林萨满精灵,是,32x32像素，4帧动画（当前为1x1占位图）
20,res://Assets/Sprites/Monster/,monster_goblin_leader.png,图片,哥布林首领精灵,是,48x48像素，4帧动画（当前为1x1占位图）
21,res://Assets/Sprites/Monster/,monster_skeleton.png,图片,骷髅怪物精灵,是,32x32像素，4帧动画（当前为1x1占位图）
22,res://Assets/Sprites/Monster/,monster_skeleton_archer.png,图片,骷髅弓箭手精灵,是,32x32像素，4帧动画（当前为1x1占位图）
23,res://Assets/Sprites/Monster/,monster_ghost.png,图片,幽灵怪物精灵,是,32x32像素，4帧动画（当前为1x1占位图）
24,res://Assets/Sprites/Monster/,monster_training_dummy.png,图片,训练假人精灵,是,32x48像素，静态图片（当前为1x1占位图）
25,res://Assets/Sprites/Monster/,monster_goblin_king.png,图片,哥布林王BOSS精灵,是,64x64像素，6帧动画（当前为1x1占位图）
26,res://Assets/Sprites/Monster/,monster_lich_king.png,图片,巫妖王BOSS精灵,是,64x64像素，6帧动画（当前为1x1占位图）
27,res://Assets/Sprites/Monster/,monster_ancient_dragon.png,图片,远古巨龙BOSS精灵,是,128x128像素，8帧动画（当前为1x1占位图）
28,res://Assets/Sprites/Monster/,monster_dragon_whelp.png,图片,幼龙怪物精灵,是,48x48像素，4帧动画（当前为1x1占位图）
29,res://Assets/Sprites/Monster/,monster_dragon_guardian.png,图片,龙守卫怪物精灵,是,48x48像素，4帧动画（当前为1x1占位图）
30,res://Assets/Icons/Skills/,skill_normal_shot.png,图片,普通射击技能图标,是,40x40像素，弓箭图标（当前为1x1占位图）
31,res://Assets/Icons/Skills/,skill_five_arrows.png,图片,五连箭技能图标,是,40x40像素，五支箭图标（当前为1x1占位图）
32,res://Assets/Icons/Skills/,skill_thunder_jump.png,图片,雷神跳技能图标,是,40x40像素，雷电跳跃图标（当前为1x1占位图）
33,res://Assets/Icons/Skills/,skill_double_shield.png,图片,双重护盾技能图标,是,40x40像素，盾牌图标（当前为1x1占位图）
34,res://Assets/Icons/Skills/,skill_double_armor.png,图片,双重护甲技能图标,是,40x40像素，铠甲图标（当前为1x1占位图）
35,res://Assets/Icons/Skills/,skill_double_slash.png,图片,双重斩击技能图标,是,40x40像素，剑刃图标（当前为1x1占位图）
36,res://Assets/Icons/Skills/,skill_stealth.png,图片,隐身技能图标,是,40x40像素，阴影图标（当前为1x1占位图）
37,res://Assets/Icons/Skills/,skill_backstab.png,图片,背刺技能图标,是,40x40像素，匕首图标（当前为1x1占位图）
38,res://Assets/Icons/Skills/,skill_shadow_step.png,图片,暗影步技能图标,是,40x40像素，传送图标（当前为1x1占位图）
39,res://Assets/Icons/Skills/,skill_fireball.png,图片,火球术技能图标,是,40x40像素，火球图标（当前为1x1占位图）
40,res://Assets/Icons/Skills/,skill_heal.png,图片,治愈术技能图标,是,40x40像素，十字图标（当前为1x1占位图）
41,res://Assets/Icons/Skills/,skill_purify.png,图片,净化技能图标,是,40x40像素，光芒图标（当前为1x1占位图）
42,res://Assets/Icons/Equipment/,weapon_common_sword.png,图片,普通剑图标,是,32x32像素，剑图标（当前为1x1占位图）
43,res://Assets/Icons/Equipment/,weapon_iron_sword.png,图片,铁剑图标,是,32x32像素，铁剑图标（当前为1x1占位图）
44,res://Assets/Icons/Equipment/,weapon_bronze_sword.png,图片,青铜剑图标,是,32x32像素，青铜剑图标（当前为1x1占位图）
45,res://Assets/Icons/Equipment/,weapon_silver_sword.png,图片,银剑图标,是,32x32像素，银剑图标（当前为1x1占位图）
46,res://Assets/Icons/Equipment/,weapon_gold_sword.png,图片,金剑图标,是,32x32像素，金剑图标（当前为1x1占位图）
47,res://Assets/Icons/Equipment/,armor_common_armor.png,图片,普通铠甲图标,是,32x32像素，铠甲图标（当前为1x1占位图）
48,res://Assets/Icons/Equipment/,armor_iron_armor.png,图片,铁甲图标,是,32x32像素，铁甲图标（当前为1x1占位图）
49,res://Assets/Icons/Equipment/,armor_bronze_armor.png,图片,青铜甲图标,是,32x32像素，青铜甲图标（当前为1x1占位图）
50,res://Assets/Icons/Equipment/,shoes_common_shoes.png,图片,普通鞋图标,是,32x32像素，鞋子图标（当前为1x1占位图）
51,res://Assets/Icons/Equipment/,shoes_iron_shoes.png,图片,铁靴图标,是,32x32像素，铁靴图标（当前为1x1占位图）
52,res://Assets/Icons/Materials/,material_herb.png,图片,草药图标,是,32x32像素，草药图标（当前为1x1占位图）
53,res://Assets/Icons/Materials/,material_iron_ore.png,图片,铁矿图标,是,32x32像素，矿石图标（当前为1x1占位图）
54,res://Assets/Icons/Consumables/,consumable_hp_potion.png,图片,生命药水图标,是,32x32像素，红色药水瓶（当前为1x1占位图）
55,res://Assets/Icons/Consumables/,consumable_mp_potion.png,图片,魔法药水图标,是,32x32像素，蓝色药水瓶（当前为1x1占位图）
56,res://Assets/Icons/,default.png,图片,默认图标,是,32x32像素，问号图标（当前为1x1占位图）
57,res://Assets/Audio/SFX/,sfx_attack.wav,音频,攻击音效,是,约0.5秒，挥砍音效（当前为占位WAV头）
58,res://Assets/Audio/SFX/,sfx_hit.wav,音频,击中音效,是,约0.3秒，击中音效（当前为占位WAV头）
59,res://Assets/Audio/SFX/,sfx_skill.wav,音频,技能释放音效,是,约0.5秒，魔法音效（当前为占位WAV头）
60,res://Assets/Audio/SFX/,sfx_damage.wav,音频,受伤音效,是,约0.3秒，受伤音效（当前为占位WAV头）
61,res://Assets/Audio/SFX/,sfx_death.wav,音频,死亡音效,是,约1秒，死亡音效（当前为占位WAV头）
62,res://Assets/Audio/SFX/,sfx_heal.wav,音频,治疗音效,是,约0.5秒，治愈音效（当前为占位WAV头）
63,res://Assets/Audio/SFX/,sfx_level_up.wav,音频,升级音效,是,约1秒，升级提示音效（当前为占位WAV头）
64,res://Assets/Audio/SFX/,sfx_coin.wav,音频,金币音效,是,约0.3秒，金币拾取音效（当前为占位WAV头）
65,res://Assets/Audio/SFX/,sfx_equip.wav,音频,装备音效,是,约0.5秒，装备物品音效（当前为占位WAV头）
66,res://Assets/Audio/SFX/,sfx_click.wav,音频,点击音效,是,约0.1秒，UI点击音效（当前为占位WAV头）
67,res://Assets/UI/,ui_button_normal.png,图片,按钮正常状态,是,任意尺寸，按钮背景图（当前为1x1占位图）
68,res://Assets/UI/,ui_button_hover.png,图片,按钮悬停状态,是,与按钮正常状态同尺寸（当前为1x1占位图）
69,res://Assets/UI/,ui_button_pressed.png,图片,按钮按下状态,是,与按钮正常状态同尺寸（当前为1x1占位图）
70,res://Assets/UI/,ui_panel.png,图片,面板背景,是,任意尺寸，半透明面板（当前为1x1占位图）
71,res://Assets/UI/,ui_progress_bar.png,图片,进度条背景,是,100x10像素，进度条背景（当前为1x1占位图）
72,res://Assets/UI/,ui_progress_bar_fill.png,图片,进度条填充,是,100x10像素，进度条填充（当前为1x1占位图）
73,res://Assets/Fonts/,game_font.ttf,字体,游戏字体,否,中文支持的字体文件
74,res://Assets/Sprites/NPC/,npc_village_elder.png,图片,村庄长老NPC精灵,是,32x48像素，老人形象（当前为1x1占位图）
75,res://Assets/Sprites/NPC/,npc_blacksmith.png,图片,铁匠NPC精灵,是,32x48像素，铁匠形象（当前为1x1占位图）
76,res://Assets/Sprites/NPC/,npc_healer.png,图片,药剂师NPC精灵,是,32x48像素，治疗师形象（当前为1x1占位图）
77,res://Assets/Sprites/NPC/,npc_trainer.png,图片,训练师NPC精灵,是,32x48像素，战士形象（当前为1x1占位图）
78,res://Assets/Sprites/NPC/,npc_forest_ranger.png,图片,森林巡逻员NPC精灵,是,32x48像素，游侠形象（当前为1x1占位图）
79,res://Assets/Sprites/Projectiles/,projectile_arrow.png,图片,箭矢投射物,是,16x8像素，箭矢图片（当前为1x1占位图）
80,res://Assets/Sprites/Projectiles/,projectile_fireball.png,图片,火球投射物,是,24x24像素，火球图片（当前为1x1占位图）
81,res://Assets/Sprites/Effects/,effect_explosion.png,图片,爆炸特效,是,64x64像素，爆炸动画（当前为1x1占位图）
82,res://Assets/Sprites/Effects/,effect_heal.png,图片,治疗特效,是,48x48像素，治愈光芒动画（当前为1x1占位图）
83,res://Assets/Sprites/Effects/,effect_damage.png,图片,伤害数字,是,32x32像素，伤害数字精灵（当前为1x1占位图）
84,res://Assets/Sprites/Effects/,effect_level_up.png,图片,升级特效,是,64x64像素，升级光芒动画（当前为1x1占位图）
85,res://Assets/Sprites/Effects/,effect_death.png,图片,死亡特效,是,64x64像素，消散动画（当前为1x1占位图）
